Intro: RABBIT_1,Intro: DUCK_1,Intro: Ease_1,Q143_1,Q146_1,Q145_1,Expo: Bassline Tonic_1,Expo: Bassline Mod _1,Expo: Bassline Ease_2,Expo: Bassline Mod_1,Expo: Bassline Tonic_1,Expo: Bassline Ease_1,Expo: Soprano Tonic_1,Expo: Soprano Mod_1,Expo: Soprano Ease_1,Expo: Soprano Mod_1,Expo: Soprano Tonic_1,Expo: Soprano Ease _1,Expo: Schema Tonic_1,Expo: Schema Mod_1,Expo: Schema Ease_1,Expo: Schema Mod_1,Expo: Schema Tonic_1,Expo: Schema Ease_1,Recap: Bass Tonic_1,Recap: Bass Mod_1,Recap: Bass Ease_1,Recap: Bass Mod_1,Recap: Bass Tonic_1,Recap: Bass Ease_1,Recap: Sop Tonic_1,Recap: Sop Mod_1,Recap: Sop Ease_1,Recap: Sop Mod_1,Recap: Sop Tonic_1,Recap: Sop Ease_1,Recap: Schema Tonic_1,Recap: Schema Mod_1,Recap: Schema Ease_1,Recap: Schema Mod_1,Recap: Schema Tonic_1,Recap: Schema Ease_1,Education / Training,Education / Training_5_TEXT,Years Theory,Years Skills,Q114,Schemata Expertise,Excerpt Familiarity,Excerpt Analysis,Analytical Listening_1,Analytical Listening_2,Perfect Pitch?,Interpretation App,Interpretation App_8_TEXT,Today's date,Random ID,FL_10_DO,FL_38_DO,FL_7_DO,FL_42_DO,FL_46_DO,FL_57_DO,FL_60_DO,FL_68_DO,FL_72_DO
7,7,6,2.5,7,2,,,,7,1,1,3.5,2,1,,,,1,1,1,,,,,,,6,6,3,,,,2,2,1,,,,1,1,1,Graduate Student,,5-10 years,5-10 years,Fluent,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4,1,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",,5/23/2022,895,FL_35|FL_33,FL_39|FL_37|FL_36,Exposition:Bassline(Order2),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_58|FL_64|FL_63,Recap:Bassline(Order2),Recap:Soprano(Order2),Recap:Schema(Order2)
6.1,7,7,7,6.1,6,6.5,5.6,5.6,,,,4,6.2,5.1,,,,7,6.1,6.1,,,,,,,5,6,5.1,5.1,6.5,5.1,,,,7,6.1,5.6,,,,Graduate Student,,5-10 years,3-5 years,Very fluent,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4,No,I spoke or sang scale degrees or solfege while listening,,5/24/2022,326,FL_35|FL_33,FL_36|FL_37|FL_39,Exposition:Bassline(Order1),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_63|FL_58|FL_64,Recap:Bassline(Order2),Recap:Soprano(Order1),Recap:Schema(Order1)
7,7,7,3,1,1,1,7,1,,,,,,,1,1,1,,,,4.6,1,1,7,4.3,2,,,,1,1,1,,,,,,,7,1,6.5,"Other, please specify:",Recently defended my Ph.D. in music theory,10 + years,10 + years,"I am an expert, scale degree hearing is effortless",Somewhat familiar,This was the first time I have heard this,"No, not at all",7,1,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",,5/24/2022,381,FL_33|FL_35,FL_39|FL_36|FL_37,Exposition:Bassline(Order1),Exposition:Soprano(Order2),Exposition:Schema(Order2),FL_64|FL_63|FL_58,Recap:Bassline(Order1),Recap:Soprano(Order1),Recap:Schema(Order2)
6.1,6,7,6.1,6.2,7,,,,3,6.1,5.6,,,,2.6,5.8,3.7,3.5,5.6,5,,,,,,,2.4,6.5,4.6,3,1.9,5,,,,,,,6.2,1.5,3.5,Professor,,5-10 years,5-10 years,Very fluent,Very familiar,This was the first time I have heard this,"No, not at all",7,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",,5/31/2022,268,FL_35|FL_33,FL_36|FL_37|FL_39,Exposition:Bassline(Order2),Exposition:Soprano(Order2),Exposition:Schema(Order1),FL_64|FL_63|FL_58,Recap:Bassline(Order2),Recap:Soprano(Order1),Recap:Schema(Order2)
7,5.1,,5.1,7,2.1,4.3,6.1,3,,,,,,,6.4,5.2,4.3,,,,7,5,4.2,6.2,3.7,3.1,,,,,,,7,7,5.1,6.2,7,1.1,,,,Professor,,10 + years,10 + years,Very fluent,Very familiar,I have heard this before,"Yes, somewhat",5,3,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",,5/31/2022,883,FL_33|FL_35,FL_36|FL_39|FL_37,Exposition:Bassline(Order1),Exposition:Soprano(Order2),Exposition:Schema(Order2),FL_64|FL_58|FL_63,Recap:Bassline(Order1),Recap:Soprano(Order2),Recap:Schema(Order1)
7,7,7,7,5,,,,,7,2,2,1,7,1,,,,1,7,1,,,,,,,7,7,5,2,7,1,,,,,,,7,2,2,Professor,,10 + years,10 + years,"I am an expert, scale degree hearing is effortless","I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7,7,Yes,Other (please specify),"Not sure how to describe the various layers of experience. I tried to attend to the conflicting interpretations offered in each phase of the trial. With absolute pitch, I hear fixed-do syllables constantly (do-re-mi-fa-sol-la-si for C-D-E-F-G-A-B disregarding accidentals) given early music training in country of origin, so the scale-degree identities were just somehow there. In addition, on a more reflective level, of course there are cues for the activation of the Modulating Prinner schema in a spot like this (e.g., surface activity that's speedy, harmonic modulation, connecting to Converging Cadence pattern at the end)---the top down cue of ""this is 3-over-1 becoming immediately 6-over-4 in the new key"" is probably the strongest factor of all, which doesn't really leave much room for ambiguity. In terms of the formal grammar and even the surface affordances, there's simply no way that this is a (home-key) Prinner riposte.",6/2/2022,475,FL_35|FL_33,FL_36|FL_37|FL_39,Exposition:Bassline(Order2),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_58|FL_64|FL_63,Recap:Bassline(Order2),Recap:Soprano(Order1),Recap:Schema(Order2)
1,7,1,4,7,7,5,6.1,5.9,,,,,,,5.1,5.3,5.4,,,,7,4.4,6.2,5.1,3.1,3.3,,,,,,,3,3.8,3.7,,,,4.5,3,3.8,Professor,,10 + years,10 + years,"I am an expert, scale degree hearing is effortless","I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",,6/3/2022,392,FL_33|FL_35,FL_36|FL_37|FL_39,Exposition:Bassline(Order1),Exposition:Soprano(Order2),Exposition:Schema(Order2),FL_58|FL_63|FL_64,Recap:Bassline(Order1),Recap:Soprano(Order2),Recap:Schema(Order2)
7,7,7,7,6.5,6,,,,7,5,5,6,7,7,,,,3,7,5.1,,,,,,,7,3,2.8,,,,1.2,7,2,1.5,7,1.5,,,,Professor,,10 + years,10 + years,"I am an expert, scale degree hearing is effortless","I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7,7,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",,6/3/2022,244,FL_35|FL_33,FL_36|FL_37|FL_39,Exposition:Bassline(Order2),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_58|FL_64|FL_63,Recap:Bassline(Order2),Recap:Soprano(Order2),Recap:Schema(Order1)
7,7,7,5,7,4,,,,7,7,7,5.5,3,2.1,,,,7,4,4,,,,7,7,7,,,,5.5,3,1.2,,,,7,6,6,,,,Professor,,10 + years,10 + years,Very fluent,Somewhat familiar,I have heard this before,"No, not at all",6,4,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",,6/4/2022,148,FL_33|FL_35,FL_39|FL_36|FL_37,Exposition:Bassline(Order2),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_63|FL_64|FL_58,Recap:Bassline(Order1),Recap:Soprano(Order1),Recap:Schema(Order1)
7,7,6.3,3,7,1.7,4.8,7,2.6,,,,,,,7,2.1,1.4,,,,7,1.1,1,5.2,7,3.1,,,,,,,7,2.3,1.4,,,,7,1.2,1.1,Graduate Student,,10 + years,10 + years,Very fluent,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",,6/5/2022,701,FL_35|FL_33,FL_37|FL_36|FL_39,Exposition:Bassline(Order1),Exposition:Soprano(Order2),Exposition:Schema(Order2),FL_64|FL_63|FL_58,Recap:Bassline(Order1),Recap:Soprano(Order2),Recap:Schema(Order2)
6,6,7,5,6,7,,,,7,7,7,,,,5.3,7,5.5,,,,7,4,4.5,,,,7,7,6,,,,5,6.3,3,,,,7,5.6,7,Professor,,5-10 years,5-10 years,"I am an expert, scale degree hearing is effortless","I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7,7,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",,6/15/2022,540,FL_35|FL_33,FL_37|FL_36|FL_39,Exposition:Bassline(Order2),Exposition:Soprano(Order2),Exposition:Schema(Order2),FL_63|FL_64|FL_58,Recap:Bassline(Order2),Recap:Soprano(Order2),Recap:Schema(Order2)
7,5.1,7,4,3,6,6,4,3.5,,,,5,4.5,4,,,,4,5.5,3.5,,,,,,,5,6,6,6,4,4,,,,4,5,3,,,,Professor,,5-10 years,3-5 years,Very fluent,Very familiar,This was the first time I have heard this,"No, not at all",6,5,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",,6/22/2022,495,FL_35|FL_33,FL_37|FL_39|FL_36,Exposition:Bassline(Order1),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_63|FL_58|FL_64,Recap:Bassline(Order2),Recap:Soprano(Order1),Recap:Schema(Order1)
